itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
7172-1	minutes	minutes,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7175-1	21.5pn.	21.5 pirate-ninjas.	script identifiable	numbers	12	major	12	2	0	0	0	0	0	0	0	1	0	0	0
7176-1	(drum roll) 1pn.	(drumroll) 1 pirate-ninja.	script identifiable	numbers	12	major	10	1	0	0	0	0	0	0	0	1	0	0	0
7185-1	km	kilometers	other	expansion	8	major	8	0	0	0	0	0	0	0	0	0	0	1	0
7185-2	kwh.	kilowatt-hours.	other	expansion	11	major	11	1	0	0	0	0	0	0	0	0	0	1	0
7194-1	kg	kilograms'	other	expansion	8	major	8	1	0	0	0	0	0	0	0	0	0	1	0
7195-1	kg.	kilograms.	other	expansion	7	major	7	0	0	0	0	0	0	0	0	0	0	1	0
7197-1	Atmospheric Regulator	atmospheric regulator	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7197-2	Oxygenator,	oxygenator,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7198-1	kg.	kilograms.	other	expansion	7	major	7	0	0	0	0	0	0	0	0	0	0	1	0
7206-1	km	kilometers	other	expansion	8	major	8	0	0	0	0	0	0	0	0	0	0	1	0
7207-1	km	kilometers	other	expansion	8	major	8	0	0	0	0	0	0	0	0	0	0	1	0
7208-1	km	kilometers	other	expansion	8	major	8	0	0	0	0	0	0	0	0	0	0	1	0
7209-1	65	64	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
7211-1	Oxygenator	oxygenator	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7213-1	18pn	18-pirate-ninja	script identifiable	numbers	11	major	11	2	0	0	0	0	0	0	0	1	0	0	0
7213-2	Oxygenator	oxygenator	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7213-3		about	other	insertion	5	minor	5	0	1	0	0	0	0	0	0	0	0	0	0
7215-1	65 sol	sixty-four-sol	script identifiable	numbers	11	major	8	1	0	0	0	0	0	0	0	1	0	0	0
7215-2	91!	ninety-two!	script identifiable	numbers	10	major	8	1	0	0	0	0	0	0	0	1	0	0	0
7216-1	fucking		other	deletion	7	major	-7	0	0	1	0	0	0	0	0	0	0	0	0
7223-1	up in	up'in	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7229-1	4 km	four kilometers	script identifiable	numbers	12	major	11	0	0	0	0	0	0	0	0	1	0	0	0
7233-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
7238-1	Water Reclaimer	water reclaimer	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7239-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
7240-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
7242-1	well-behaved.	well behaved.	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
7243-1		There's one tricky bit:	other	insertion	23	major	23	5	1	0	0	0	0	0	0	0	0	0	0
7243-2	Atmospheric Regulator	atmospheric regulator	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7255-1	me...	me....	script identifiable	punctuation	1	minor	1	0	0	0	0	0	0	1	0	0	0	0	0
7257-1	canvass	canvas	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7258-1	Weighing	Once I weighed	other	expansion	11	major	6	2	0	0	0	0	0	0	0	0	0	1	0
7258-2	canvass	canvas	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7258-3	now		other	deletion	3	minor	-3	0	0	1	0	0	0	0	0	0	0	0	0
7259-1	L	liters	other	expansion	6	major	5	0	0	0	0	0	0	0	0	0	0	1	0
7260-1	Water Reclaimer.	water reclaimer.	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7261-1	Water Reclaimer operating).		other	deletion	27	major	-27	-3	0	1	0	0	0	0	0	0	0	0	0
7262-1	Hooking	water reclaimer operating.)	other	expansion	23	major	20	3	0	0	0	0	0	0	0	0	0	1	0
7263-1		I hooked	other	insertion	8	major	8	1	1	0	0	0	0	0	0	0	0	0	0
7263-2	RTG-water-heater, I	RTG water heater and	other	tbc	6	major	1	0	0	0	0	0	0	0	0	0	0	0	1
7263-3	in	into	other	tbc	2	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
7268-1	37 C.	37°C.	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
7269-1	pump,	pump	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
7270-1	man, all	man! All	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7270-2	"""Ahhhhhh.''"	"""Ahhhhhh."""	script identifiable	punctuation	2	minor	-1	0	0	0	0	0	0	1	0	0	0	0	0
7275-1	laid	lay	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7275-2	'70's	seventies	script identifiable	numbers	8	major	4	-2	0	0	0	0	0	0	0	1	0	0	0
7276-1	seen	Seen	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7280-1	14	fourteen	script identifiable	numbers	8	major	6	0	0	0	0	0	0	0	0	1	0	0	0
