itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
1-1	Chapter	CHAPTER	script-identifiable	capitalization	6	major	0	0	0	0	1	0	0	0	0	0	0	0	0
6-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
6-2	a	the	other	tbc	3	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
6-3	two months	month	other	condensation	5	minor	-5	-1	0	0	0	0	0	0	0	0	1	0	0
6-4	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
13-1	say	say,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
15-1	Cause	'Cause	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
18-1	program.	Program.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
19-1	blah. The	blah, the	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
24-1	Well. That	Well, that	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
25-1	Well,	Okay,	other	tbc	4	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
32-1	age?	age.	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
34-1	Well, guys,	Guys,	other	condensation	7	major	-6	-1	0	0	0	0	0	0	0	0	1	0	0
39-1	earth	Earth	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
41-1	only		other	deletion	4	minor	-4	0	0	1	0	0	0	0	0	0	0	0	0
41-2		only	other	insertion	4	minor	4	0	1	0	0	0	0	0	0	0	0	0	0
45-1	bums	burns	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
47-1	Argon	argon	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
48-1	Argon	argon	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
51-1	We did have fun, but		other	deletion	20	major	-20	-4	0	1	0	0	0	0	0	0	0	0	0
54-1	Descent Vehicle)	descent vehicle)	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
57-1	Having	having	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
57-2		of	other	insertion	2	minor	2	0	1	0	0	0	0	0	0	0	0	0	0
58-1	14	fourteen	script identifiable	numbers	8	major	6	0	0	0	0	0	0	0	0	1	0	0	0
61-1	tended	tend	other	tbc	2	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
62-1		that	other	insertion	4	minor	4	0	1	0	0	0	0	0	0	0	0	0	0
63-1	3	three	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
66-1	"""Mars Ascent Vehicle."""	Mars ascent vehicle.	other	tbc	4	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
69-1	were	had been	other	expansion	7	major	4	1	0	0	0	0	0	0	0	0	0	1	0
69-2	pass	have passed	other	expansion	7	major	7	1	0	0	0	0	0	0	0	0	0	1	0
69-3	go back to Earth	gone home	other	condensation	12	major	-7	-2	0	0	0	0	0	0	0	0	1	0	0
71-1	13	thirteen	script identifiable	numbers	8	major	6	0	0	0	0	0	0	0	0	1	0	0	0
73-1	24	twenty-four	script identifiable	numbers	11	major	9	1	0	0	0	0	0	0	0	1	0	0	0
76-1	dying. Then	dying, and	other	tbc	5	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
77-1	km/hr.	kph.	other	tbc	3	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
78-1	km/hr	kph	other	tbc	3	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
79-1		flight space	other	insertion	12	major	12	1	1	0	0	0	0	0	0	0	0	0	0
83-1	extent	extent,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
85-1	month-long	monthlong	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
85-2	days	days,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
85-3	punishment	punishment,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
85-4	get	have gotten	other	expansion	9	major	8	1	0	0	0	0	0	0	0	0	0	1	0
85-5	here.	there.	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
91-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
91-2	end first.	end-first.	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
92-1	butter	butter,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
93-1	suddenly		other	deletion	8	major	-8	0	0	1	0	0	0	0	0	0	0	0	0
97-1	face down,	facedown,	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
99-1	then		other	deletion	4	minor	-4	0	0	1	0	0	0	0	0	0	0	0	0
99-2	got	had been	other	expansion	8	major	5	1	0	0	0	0	0	0	0	0	0	1	0
102-1	face down,	facedown,	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
105-1	only		other	deletion	4	minor	-4	0	0	1	0	0	0	0	0	0	0	0	0
107-1	the blood	it	other	condensation	9	major	-7	-1	0	0	0	0	0	0	0	0	1	0	0
109-1	Seeing	Sensing	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
110-1	the	to	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
114-1	we had	I have	other	tbc	4	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
114-2	Oxygenator,	oxygenator,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
114-3	could break CO2	breaks	script identifiable	numbers	10	major	-9	-2	0	0	0	0	0	0	0	1	0	0	0
114-4	and	CO2 to	script identifiable	numbers	6	major	3	1	0	0	0	0	0	0	0	1	0	0	0
115-1	spacesuits had	space suits have	other	tbc	3	minor	2	1	0	0	0	0	0	0	0	0	0	0	1
115-2	used	use	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
117-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
117-2	"""bloodletting""."	"""bloodletting."""	script identifiable	punctuation	2	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
118-1	back-filled	backfilled	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
128-1	I	I'd	other	tbc	2	minor	2	1	0	0	0	0	0	0	0	0	0	0	1
131-1	end,	end	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
134-1	valve	valve,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
136-1	wound	Wound	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
140-1	%	percent	other	expansion	7	major	6	-1	0	0	0	0	0	0	0	0	0	1	0
141-1	%.	percent.	other	expansion	7	major	6	0	0	0	0	0	0	0	0	0	0	1	0
142-1	ok,	okay,	other	tbc	2	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
144-1	in-tact	intact	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
146-1	moment I	moment-1	script identifiable	numbers	2	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
148-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
150-1	Entering	Once inside	other	tbc	7	major	3	1	0	0	0	0	0	0	0	0	0	0	1
153-1	9 stitches	nine stitches,	script identifiable	numbers	5	minor	4	1	0	0	0	0	0	0	0	1	0	0	0
155-1	communication	communications	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
159-1	communication	communications	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
163-1	24	twenty-four	script identifiable	numbers	11	major	9	1	0	0	0	0	0	0	0	1	0	0	0
164-1	wait for no reason just to make the trip take longer?	wait?	other	condensation	48	major	-48	-10	0	0	0	0	0	0	0	0	1	0	0
165-1	biomonitor	bio-monitor	script identifiable	hyphenation	1	minor	1	1	0	0	0	0	0	0	1	0	0	0	0
166-1	others	other's	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
167-1	0,	zero,	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
167-2	biosigns	bio-signs	script identifiable	hyphenation	1	minor	1	1	0	0	0	0	0	0	1	0	0	0	0
168-1	I was sent tumbling	watching me tumble	other	tbc	13	major	-1	-1	0	0	0	0	0	0	0	0	0	0	1
171-1	were	are	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
172-1	died	dies	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
172-2	stayed	stays	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
173-1	reduced	reduces	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
174-1	meant	means	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
180-1	31	thirty-one	script identifiable	numbers	10	major	8	1	0	0	0	0	0	0	0	1	0	0	0
181-1	Oxygenator	oxygenator	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
181-2	Ell	I'll	other	tbc	2	minor	1	1	0	0	0	0	0	0	0	0	0	0	1
182-1	Water Reclaimer	water reclaimer	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
184-1	Ell	I'll	other	tbc	2	minor	1	1	0	0	0	0	0	0	0	0	0	0	1
186-1	Em	I'm	other	tbc	2	minor	1	1	0	0	0	0	0	0	0	0	0	0	1
187-1	Chapter	CHAPTER	script-identifiable	capitalization	6	major	0	0	0	0	1	0	0	0	0	0	0	0	0
189-1	Ok,	Okay,	other	tbc	2	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
190-1	supplies,	supplies	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
192-1	31	thirty-one	script identifiable	numbers	10	major	8	1	0	0	0	0	0	0	0	1	0	0	0
193-1	56	fifty-six	script identifiable	numbers	9	major	7	1	0	0	0	0	0	0	0	1	0	0	0
194-1	one or	one,or	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
195-1	50	fifty	script identifiable	numbers	5	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
196-1	300	three hundred	script identifiable	numbers	13	major	10	1	0	0	0	0	0	0	0	1	0	0	0
199-1		I'm pretty flush on EVA suits, too.	other	insertion	35	major	35	8	1	0	0	0	0	0	0	0	0	0	0
200-1		Each crew member had two space suits: a flight spacesuit to wear during descent and ascent, and the much bulkier and more robust EVA suit to wear when doing surface operations.	other	insertion	176	major	176	31	1	0	0	0	0	0	0	0	0	0	0
201-1		My flight spacesuit has a hole in it, and of course the crew was wearing the other five when they returned to Hermes.	other	insertion	117	major	117	23	1	0	0	0	0	0	0	0	0	0	0
202-1		But all six EVA suits are still here and in perfect condition.	other	insertion	62	major	62	12	1	0	0	0	0	0	0	0	0	0	0
205-1	dish; it	dish. It	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
208-1	there.	here.	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
213-1	exposed	exposed,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
213-2	it	ft	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
219-1	in-tact.	intact.	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
221-1	if	when	other	tbc	4	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
224-1	4	four	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
227-1	it		other	deletion	2	minor	-2	0	0	1	0	0	0	0	0	0	0	0	0
228-1	them	the cells	other	expansion	6	major	5	1	0	0	0	0	0	0	0	0	0	1	0
230-1	200	Two hundred	script identifiable	numbers	11	major	8	1	0	0	0	0	0	0	0	1	0	0	0
233-1	Oxygenator.	oxygenator.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
236-1	there is	there's	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
239-1	spacesuits	space suits	script identifiable	whitespace	1	minor	1	1	0	0	0	1	0	0	0	0	0	0	0
240-1	5	five	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
240-2	30	thirty	script identifiable	numbers	6	major	4	0	0	0	0	0	0	0	0	1	0	0	0
242-1	Water Reclaimer	water reclaimer	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
248-1	Water Reclaimer.	water reclaimer.	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
252-1	3/4	three-fourths	script identifiable	numbers	13	major	10	0	0	0	0	0	0	0	0	1	0	0	0
253-1	300	three hundred	script identifiable	numbers	13	major	10	1	0	0	0	0	0	0	0	1	0	0	0
253-2	in to 400.	into four hundred.	script identifiable	numbers	12	major	8	0	0	0	0	0	0	0	0	1	0	0	0
259-1	death,	death.	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
261-1	out.		other	deletion	4	minor	-4	-1	0	1	0	0	0	0	0	0	0	0	0
262-1	Everyone	"out."""	other	tbc	8	major	-3	1	0	0	0	0	0	0	0	0	0	0	1
263-1		.Everyone	other	insertion	9	major	9	1	1	0	0	0	0	0	0	0	0	0	0
264-1	engineer.		other	deletion	9	major	-9	-1	0	1	0	0	0	0	0	0	0	0	0
265-1	Basically, I was	engineer; basically,	other	expansion	17	major	4	0	0	0	0	0	0	0	0	0	0	1	0
268-1	not completely	not,completely	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
270-1	Crater,	crater,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
270-2	3,200 km	3200 kilometers	script identifiable	numbers	9	major	7	-1	0	0	0	0	0	0	0	1	0	0	0
270-3	the		other	deletion	3	minor	-3	0	0	1	0	0	0	0	0	0	0	0	0
276-1	4	four	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
277-1	4	four	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
277-2	1	one	script identifiable	numbers	3	minor	2	0	0	0	0	0	0	0	0	1	0	0	0
279-1	"""Fix"	Fix	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
279-2	"radio""."	radio.	script identifiable	punctuation	1	minor	-1	0	0	0	0	0	0	1	0	0	0	0	0
281-1	communication	communications	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
282-1	wandering	wandering,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
285-1	communication	communications	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
294-1	4-hour	four-hour	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
294-2	crewmember	crew member	script identifiable	whitespace	1	minor	1	1	0	0	0	1	0	0	0	0	0	0	0
295-1	small	small,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
296-1	hours	hours'	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
298-1	1500	Fifteen hundred	script identifiable	numbers	15	major	11	1	0	0	0	0	0	0	0	1	0	0	0
298-2	4	four	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
304-1	here.	there.	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
307-1	Earth-atmosphere	Earth atmosphere	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
310-1	or	and	other	tbc	3	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
313-1	planter-box,	box,	other	condensation	8	major	-8	-1	0	0	0	0	0	0	0	0	1	0	0
314-1	earth,	Earth,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
324-1	7	seven	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
329-1	"hippies!"" I would scoff."		other	deletion	24	major	-24	-4	0	1	0	0	0	0	0	0	0	0	0
330-1	"""Look"	hippies!	other	tbc	8	major	3	0	0	0	0	0	0	0	0	0	0	0	1
331-1		Look	other	insertion	4	minor	4	0	1	0	0	0	0	0	0	0	0	0	0
331-2	"back yard."""	"backyard."""	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
332-1	course	course,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
338-1	any more!	anymore!	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
341-1	Of	of	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
342-1	filled it with	put	other	condensation	13	major	-11	-2	0	0	0	0	0	0	0	0	1	0	0
342-2	water,	water in it,	other	expansion	6	major	6	2	0	0	0	0	0	0	0	0	0	1	0
344-1	more successful	better	other	condensation	13	major	-9	-1	0	0	0	0	0	0	0	0	1	0	0
350-1	infection..	infection.	script identifiable	punctuation	1	minor	-1	0	0	0	0	0	0	1	0	0	0	0	0
351-1		People have been using human waste as fertilizer for centuries.	other	insertion	63	major	63	10	1	0	0	0	0	0	0	0	0	0	0
352-1		"It's even got a pleasant name: ""night soil."""	other	insertion	44	major	44	9	1	0	0	0	0	0	0	0	0	0	0
353-1		Normally, it's not an ideal way to grow crops, because it spreads disease: Human waste has pathogens in it that, you guessed it, infect humans.	other	insertion	143	major	143	26	1	0	0	0	0	0	0	0	0	0	0
354-1		But it's not a problem for me.	other	insertion	30	major	30	8	1	0	0	0	0	0	0	0	0	0	0
355-1		The only pathogens in this waste are the ones I already have.	other	insertion	61	major	61	12	1	0	0	0	0	0	0	0	0	0	0
358-1		bring in more lifeless soil from outside and	other	insertion	44	major	44	7	1	0	0	0	0	0	0	0	0	0	0
358-2	it out	some of the live soil	other	expansion	18	major	15	3	0	0	0	0	0	0	0	0	0	1	0
358-3	a doubled area.	it.	other	condensation	14	major	-12	-2	0	0	0	0	0	0	0	0	1	0	0
359-1	Martian soil.	soil and I'll have double what I started with.	other	expansion	40	major	33	8	0	0	0	0	0	0	0	0	0	1	0
371-1	*any*	any	script identifiable	italics	2	minor	-2	-2	0	0	0	0	1	0	0	0	0	0	0
373-1	floor-space	floor space	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
376-1	cm.	centimeters.	other	expansion	9	major	9	0	0	0	0	0	0	0	0	0	0	1	0
377-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
378-1	1/10th	one-tenth	script identifiable	numbers	7	major	3	0	0	0	0	0	0	0	0	1	0	0	0
379-1	But	But'	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
379-2	croppable	crop-able	other	tbc	1	minor	0	1	0	0	0	0	0	0	0	0	0	0	1
385-1	12	twelve	script identifiable	numbers	6	major	4	0	0	0	0	0	0	0	0	1	0	0	0
385-2	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
386-1	5	five	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
391-1	10	ten	script identifiable	numbers	3	minor	1	0	0	0	0	0	0	0	0	1	0	0	0
396-1	10	ten	script identifiable	numbers	3	minor	1	0	0	0	0	0	0	0	0	1	0	0	0
401-1	3/4	three-fourths	script identifiable	numbers	13	major	10	0	0	0	0	0	0	0	0	1	0	0	0
403-1	though	thought	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
403-2	Water.	water.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
406-1	it	the dirt	other	expansion	6	major	6	1	0	0	0	0	0	0	0	0	0	1	0
412-1	Water Reclaimer.	water reclaimer.	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
414-1	"figured ""why"	"figured, ""Why"	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
416-1	3	three	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
417-1	each. There are	each, making	other	tbc	10	major	-3	-1	0	0	0	0	0	0	0	0	0	0	1
418-1	Looks like I won't be able to cover the whole surface of the Hab with fertile soil.		other	deletion	83	major	-83	-18	0	1	0	0	0	0	0	0	0	0	0
420-1	cm.	centimeters.	other	expansion	9	major	9	0	0	0	0	0	0	0	0	0	0	1	0
421-1	2/3	two-thirds	script identifiable	numbers	10	major	7	0	0	0	0	0	0	0	0	1	0	0	0
423-1	Anyway, I've only got a paltry 5 square meters covered at	That's	script identifiable	numbers	54	major	-51	-10	0	0	0	0	0	0	0	1	0	0	0
423-2	moment.		other	deletion	7	major	-7	-1	0	1	0	0	0	0	0	0	0	0	0
424-1	After that, things got disgusting.		other	deletion	34	major	-34	-5	0	1	0	0	0	0	0	0	0	0	0
425-1	I spent three hours spreading shit on Martian sand.		other	deletion	51	major	-51	-9	0	1	0	0	0	0	0	0	0	0	0
426-1	I didn't have to do it with	longterm plan.	other	condensation	23	major	-13	-5	0	0	0	0	0	0	0	0	1	0	0
427-1		For today,	other	insertion	10	major	10	2	1	0	0	0	0	0	0	0	0	0	0
427-2	hands, at least.		other	deletion	16	major	-16	-3	0	1	0	0	0	0	0	0	0	0	0
428-1	I spread the sand out in a comer of the Hab, about 10 cm thick.	goal was five square meters.	script identifiable	numbers	51	major	-35	-10	0	0	0	0	0	0	0	1	0	0	0
429-1	a few		other	deletion	5	minor	-5	-1	0	1	0	0	0	0	0	0	0	0	0
429-2	crewmates	crew-mates	script identifiable	hyphenation	1	minor	1	1	0	0	0	0	0	0	1	0	0	0	0
429-3	(with	with	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
429-4	perimeter).	perimeter.	script identifiable	punctuation	1	minor	-1	0	0	0	0	0	0	1	0	0	0	0	0
430-1		It was as close to five square meters as I could manage.	other	insertion	56	major	56	12	1	0	0	0	0	0	0	0	0	0	0
431-1		I filled it with sand to a depth of 10 centimeters.	other	insertion	51	major	51	11	1	0	0	0	0	0	0	0	0	0	0
433-1	5 square meters was about right for the amount of manure I had handy.	Then things got disgusting.	script identifiable	numbers	57	major	-42	-10	0	0	0	0	0	0	0	1	0	0	0
434-1	on to	onto	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
435-1	That smell's going to stick around for a while, too.		other	deletion	52	major	-52	-11	0	1	0	0	0	0	0	0	0	0	0
436-1	It's not like I can open a window.		other	deletion	34	major	-34	-9	0	1	0	0	0	0	0	0	0	0	0
437-1	Still, you get used to it.		other	deletion	26	major	-26	-6	0	1	0	0	0	0	0	0	0	0	0
442-1		That smell's going to stick around for a while, too.	other	insertion	52	major	52	11	1	0	0	0	0	0	0	0	0	0	0
443-1		It's not like I can open a window.	other	insertion	34	major	34	9	1	0	0	0	0	0	0	0	0	0	0
444-1		Still, you get used to it.	other	insertion	26	major	26	6	1	0	0	0	0	0	0	0	0	0	0
446-1	parent's house.	parents' house,.	script identifiable	punctuation	3	minor	1	-1	0	0	0	0	0	1	0	0	0	0	0
447-1	11	ten	script identifiable	numbers	3	minor	1	0	0	0	0	0	0	0	0	1	0	0	0
448-1	gathering for	with	other	condensation	11	major	-9	-1	0	0	0	0	0	0	0	0	1	0	0
450-1		I've been so busy staying alive I never thought of what this must be like for my parents.	other	insertion	89	major	89	19	1	0	0	0	0	0	0	0	0	0	0
451-1		Right now, they're suffering the worst pain anyone can endure.	other	insertion	62	major	62	11	1	0	0	0	0	0	0	0	0	0	0
452-1		I'd give anything just to let them know I'm still alive.	other	insertion	56	major	56	13	1	0	0	0	0	0	0	0	0	0	0
453-1		I'll just have to survive to make up for it.	other	insertion	44	major	44	11	1	0	0	0	0	0	0	0	0	0	0
458-1	2/3	Two-thirds	script identifiable	numbers	10	major	7	0	0	0	0	0	0	0	0	1	0	0	0
460-1	was	is	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
461-1		.	other	insertion	1	minor	1	1	1	0	0	0	0	0	0	0	0	0	0
462-1	I will	I'll	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
467-1	making	making,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
468-1	grow	glow	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
468-2	caloric	caloric,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
468-3	kg).	kilogram).	other	expansion	6	major	6	0	0	0	0	0	0	0	0	0	0	1	0
471-1	kg	kilograms	other	expansion	7	major	7	0	0	0	0	0	0	0	0	0	0	1	0
475-1	for ever.	forever.	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
486-1	Chapter	CHAPTER	script-identifiable	capitalization	6	major	0	0	0	0	1	0	0	0	0	0	0	0	0
488-1	Algebra	algebra	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
492-1	four years.		other	deletion	11	major	-11	-2	0	1	0	0	0	0	0	0	0	0	0
493-1	I figure if	the 1387 sols until Ares 4 arrives.	script identifiable	numbers	29	major	24	5	0	0	0	0	0	0	0	1	0	0	0
494-1		If	other	insertion	2	minor	2	0	1	0	0	0	0	0	0	0	0	0	0
495-1	So that's	A sol is 39 minutes longer than a day, so it works out to be 1425 days.	script identifiable	numbers	64	major	62	15	0	0	0	0	0	0	0	1	0	0	0
496-1		That's	other	insertion	6	major	6	1	1	0	0	0	0	0	0	0	0	0	0
496-2	four years.	1425 days of food.	script identifiable	numbers	15	major	7	2	0	0	0	0	0	0	0	1	0	0	0
503-1	1400 days total (the time till Ares 4 arrives)?	around 1425 days?	script identifiable	numbers	40	major	-30	-6	0	0	0	0	0	0	0	1	0	0	0
505-1	a cool 1000.1	about 1100. I	script identifiable	numbers	7	major	0	-1	0	0	0	0	0	0	0	1	0	0	0
505-2	1000	1100	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
506-1	sol	Sol	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
508-1		So	other	insertion	2	minor	2	0	1	0	0	0	0	0	0	0	0	0	0
508-2	to bring that up to 1000. I need	almost	script identifiable	numbers	30	major	-26	-7	0	0	0	0	0	0	0	1	0	0	0
509-1		That means	other	insertion	10	major	10	1	1	0	0	0	0	0	0	0	0	0	0
509-2	I need	more	other	tbc	5	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
517-1	102.	102,	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
520-1	four	4	script identifiable	numbers	4	minor	-3	0	0	0	0	0	0	0	0	1	0	0	0
522-1	in ease,		other	deletion	8	major	-8	-2	0	1	0	0	0	0	0	0	0	0	0
522-2	spacesuits, as they spent	space suits during	other	condensation	14	major	-7	-1	0	0	0	0	0	0	0	0	1	0	0
